"country","case_deaths_rat"
Yemen,0.17143
Peru,0.08631
Sudan,0.08253
Somalia,0.06399
Mexico,0.06226
Ecuador,0.05901
Egypt,0.05701
Syria,0.05632
Bosnia and Herzegovina,0.05243
Afghanistan,0.04894
Bulgaria,0.04377
Liberia,0.04374
Niger,0.04130
Myanmar,0.04083
Paraguay,0.03995
North Macedonia,0.03865
Romania,0.03654
Tunisia,0.03559
Indonesia,0.03462
Gambia,0.03445
Grenada,0.03412
Russia,0.03408
Bahamas,0.03361
Haiti,0.03300
Malawi,0.03287
El Salvador,0.03280
Trinidad and Tobago,0.03196
Hungary,0.03187
Moldova,0.03097
Mali,0.02974
Algeria,0.02959
Ukraine,0.02939
South America,0.02898
Brazil,0.02888
Uganda,0.02884
Honduras,0.02838
Comoros,0.02786
Armenia,0.02775
Antigua and Barbuda,0.02758
Namibia,0.02747
Sri Lanka,0.02710
Jamaica,0.02705
Guyana,0.02693
Senegal,0.02683
South Africa,0.02648
China,0.02632
Guinea-Bissau,0.02585
Low-income countries,0.02525
Cambodia,0.02506
Tanzania,0.02486
Colombia,0.02479
Bolivia,0.02461
Poland,0.02417
Angola,0.02385
Upper-middle-income countries,0.02372
Zimbabwe,0.02366
Madagascar,0.02352
Africa,0.02352
Suriname,0.02334
Lesotho,0.02324
Pakistan,0.02315
Guatemala,0.02312
Saint Lucia,0.02227
Slovakia,0.02204
New Caledonia,0.02197
Burkina Faso,0.02159
Chad,0.02078
Eswatini,0.01988
Kenya,0.01963
Mauritania,0.01948
Bangladesh,0.01919
Congo,0.01907
Chile,0.01884
Vietnam,0.01882
Guam,0.01817
Ethiopia,0.01787
Latvia,0.01784
Philippines,0.01779
"World excl. China, South Korea, Japan and Singapore",0.01774
Kazakhstan,0.01774
Croatia,0.01768
French Polynesia,0.01767
World excl. China and South Korea,0.01767
World,0.01764
World excl. China,0.01764
Italy,0.01757
Argentina,0.01753
Bermuda,0.01747
Martinique,0.01740
Guinea,0.01731
Belize,0.01722
North America,0.01705
Cameroon,0.01699
Oman,0.01690
Greece,0.01687
Djibouti,0.01645
Papua New Guinea,0.01643
Europe,0.01594
Lower-middle-income countries,0.01593
Georgia,0.01591
Wallis and Futuna,0.01559
Nepal,0.01557
Iran,0.01539
Uruguay,0.01537
Zambia,0.01532
Kosovo,0.01515
Lithuania,0.01487
Libya,0.01472
Azerbaijan,0.01455
Morocco,0.01445
Sao Tome and Principe,0.01444
High-income countries,0.01443
Asia,0.01438
Asia excl. China,0.01437
Guadeloupe,0.01432
Sint Maarten (Dutch part),0.01417
Montenegro,0.01414
Saint Vincent and the Grenadines,0.01411
Lebanon,0.01409
Gibraltar,0.01408
United States,0.01407
Saudi Arabia,0.01404
Panama,0.01396
European Union (27),0.01395
Portugal,0.01365
Czechia,0.01361
India,0.01351
Albania,0.01350
Germany,0.01344
Fiji,0.01308
Venezuela,0.01298
Costa Rica,0.01291
Rwanda,0.01290
British Virgin Islands,0.01256
Kyrgyzstan,0.01246
Botswana,0.01185
Mozambique,0.01171
Malaysia,0.01171
Curacao,0.01162
Nigeria,0.01145
Jordan,0.01142
Sierra Leone,0.01118
Palestine,0.01090
Ghana,0.01089
Equatorial Guinea,0.01062
Democratic Republic of Congo,0.01061
Aruba,0.01059
Eritrea,0.01055
Austria,0.01044
United States Virgin Islands,0.01023
Canada,0.01023
Japan,0.01001
Serbia,0.00993
Saint Kitts and Nevis,0.00991
Thailand,0.00976
France,0.00971
Slovenia,0.00954
Barbados,0.00921
Spain,0.00910
Tajikistan,0.00899
Cape Verde,0.00866
Puerto Rico,0.00861
Saint Martin (French part),0.00859
Cuba,0.00858
Turkey,0.00858
Mauritius,0.00851
Monaco,0.00851
Turks and Caicos Islands,0.00826
United Kingdom,0.00815
South Korea,0.00814
Belarus,0.00813
Malta,0.00796
Estonia,0.00790
Mayotte,0.00785
Oceania,0.00785
French Guiana,0.00767
Iraq,0.00757
Dominican Republic,0.00739
Uzbekistan,0.00735
Gabon,0.00729
Liechtenstein,0.00725
San Marino,0.00722
Togo,0.00709
Dominica,0.00699
Sweden,0.00674
Bonaire Sint Eustatius and Saba,0.00656
South Sudan,0.00622
Belgium,0.00619
Luxembourg,0.00617
East Timor,0.00616
Ireland,0.00606
Nicaragua,0.00596
Central African Republic,0.00583
Kuwait,0.00579
Reunion,0.00558
Bahrain,0.00553
Switzerland,0.00544
Benin,0.00537
Seychelles,0.00519
Israel,0.00516
Australia,0.00457
Finland,0.00415
Netherlands,0.00413
Cyprus,0.00393
Andorra,0.00389
Brunei,0.00379
Singapore,0.00362
Denmark,0.00353
Qatar,0.00352
Northern Mariana Islands,0.00344
Laos,0.00317
Jersey,0.00308
Anguilla,0.00304
Mongolia,0.00287
Norway,0.00283
Faroe Islands,0.00276
United Arab Emirates,0.00272
Maldives,0.00262
Saint Barthelemy,0.00260
Isle of Man,0.00229
New Zealand,0.00215
Bhutan,0.00147
Guernsey,0.00112
Cayman Islands,0.00111
Iceland,0.00050
Greenland,0.00044
Burundi,0.00044
